"","Cell","sum(betweenness)"
"202",202,150310.209296385
"203",203,260607.021981699
"204",204,370858.468529686
"205",205,481106.949828778
"206",206,591104.271531838
"207",207,701970.210540504
"208",208,814850.389035158
"209",209,920693.392763559
"210",210,1037252.93770959
"211",211,1139310.4133828
"212",212,1248548.64623613
"213",213,1853765.42548847
"214",214,1493077.95397184
"215",215,949989.559134092
"216",216,979893.333333333
"217",217,1041611
"218",218,1085283
"219",219,1128571
"220",220,1396088
"221",221,2521115
"222",222,2293867
"223",223,1349473
"224",224,1195443.22540908
"225",225,1157453.62133451
"226",226,1164516.02808853
"227",227,1105799.52313946
"228",228,1202359.87028266
"229",229,1231816.77601127
"230",230,1422843.78671707
"231",231,1342530.00355772
"232",232,2003827.65286609
"233",233,1601577.70447017
"234",234,1731114.64839604
"235",235,2073917.31969161
"236",236,1979222.66665513
"237",237,1598387.3456696
"238",238,3416726.88071504
"239",239,1977122.49923295
"240",240,2065769.63278699
"241",241,1899638.13466318
"242",242,1971363.13258143
"243",243,2701795.36938943
"244",244,2129738.80763885
"245",245,2378739.33923403
"246",246,2058211.26755517
"247",247,2074747.47045495
"248",248,2940370.52774572
"249",249,2299970.41411986
"250",250,11509195.9634846
"251",251,14132286.5402205
"252",252,6680161
"253",253,6414593
"254",254,7004947
"255",255,7936648
"256",256,5766199
"257",257,5613195
"258",258,5552962
"259",259,5494743
"260",260,5624720
"261",261,5471642
"262",262,5390591
"263",263,6977155
"264",264,5481198
"265",265,5344804
"266",266,7601625
"267",267,5821600
"268",268,5638316
"269",269,5745006
"270",270,5608580.70787097
"271",271,7278535.28978746
"272",272,5983787.25658632
"273",273,5790419.83871309
"274",274,5601704.52155652
"275",275,5419153.6670553
"276",276,5227012.18630554
"277",277,5083638.70119152
"278",278,4840607
"279",279,4714492
"280",280,4628694
"281",281,4806827
"282",282,2672045
"283",283,1827253
"284",284,1714362
"285",285,1332442
"286",286,7003424
"287",287,1120419.12244039
"288",288,1011096.65463552
"289",289,900236.777878975
"290",290,792813.213981575
"291",291,685307.531454385
"292",292,577675.610296658
"293",293,470295.584251626
"294",294,363189.579828953
"295",295,256124.88104223
"296",296,209187.111109115
"297",297,883952.89570072
"298",298,725406.634034289
"299",299,1468027.79838182
"300",300,92125.1242518147
"301",301,42475.5263999343
"302",302,122757.50874495
"303",303,232759.630890025
"304",304,342907.3311514
"305",305,453118.799367831
"306",306,563320.285616272
"307",307,674663.531118419
"308",308,783772.054596642
"309",309,898276.320384656
"310",310,1002634.003916
"311",311,1119632.02327395
"312",312,1221414.39491134
"313",313,1321725.35578047
"314",314,1927134.2748968
"315",315,1584868.30753257
"316",316,1041268
"317",317,1064663
"318",318,1134343
"319",319,1210248
"320",320,1065756
"321",321,1200722
"322",322,1748518
"323",323,2116235.51088029
"324",324,1146633.94079515
"325",325,1176926.50042811
"326",326,1834983.07911021
"327",327,1134450.51495921
"328",328,1351164.58919081
"329",329,1379646.0672068
"330",330,1453766.10920997
"331",331,1891065.92038907
"332",332,1495567.07003112
"333",333,2068192.4767259
"334",334,1749761
"335",335,2041303
"336",336,1731933
"337",337,5479420.55221982
"338",338,3110190.0933673
"339",339,3158669.2196447
"340",340,3227174.47270995
"341",341,3177615.33100944
"342",342,4029929.18989734
"343",343,3233700.46592567
"344",344,3512111.02250207
"345",345,3085011.23109254
"346",346,3142459.4824525
"347",347,3948836.45871205
"348",348,3182751.16562423
"349",349,13934885.0573114
"350",350,15801146.1616255
"351",351,6051111.48328177
"352",352,5819986
"353",353,5843764
"354",354,7136032
"355",355,4386810
"356",356,4190176
"357",357,4103025
"358",358,4032183
"359",359,3990776
"360",360,4055770
"361",361,4169300
"362",362,3899347
"363",363,5861526
"364",364,4086051
"365",365,6794637
"366",366,4439694
"367",367,4400214
"368",368,4553670
"369",369,4086038
"370",370,6765493
"371",371,4607949.54724331
"372",372,4410741.59309749
"373",373,4268332.9688831
"374",374,4143188.68893785
"375",375,3973246.8501835
"376",376,3832033.56845526
"377",377,3624342
"378",378,3285137
"379",379,2813704
"380",380,2079615
"381",381,2131599
"382",382,3131570
"383",383,1712486
"384",384,1567833
"385",385,1590301
"386",386,1279542
"387",387,6135888.26904511
"388",388,1048594.74972199
"389",389,945643.679507924
"390",390,835425.575964737
"391",391,728584.321979736
"392",392,621594.584650461
"393",393,514431.050218663
"394",394,407494.074375748
"395",395,278671.975817764
"396",396,188880.617476319
"397",397,811972.746486551
"398",398,653700.440190586
"399",399,682243.168220016
"400",400,662176.157851122
"401",401,73596.3971435775
"402",402,122898.924287788
"403",403,206337.166551843
"404",404,315886.606834846
"405",405,426062.834877087
"406",406,536817.7754835
"407",407,648097.585237163
"408",408,758947.744726362
"409",409,866987.091221676
"410",410,981256.652220767
"411",411,1088451.99273366
"412",412,1200572.9458363
"413",413,1436357.82116603
"414",414,1408375.80462259
"415",415,2010414.1
"416",416,1677964
"417",417,1136238
"418",418,1164345
"419",419,1251118
"420",420,4027016
"421",421,1144260
"422",422,1560635
"423",423,1988361.1061492
"424",424,1937559.44821694
"425",425,1748305.31935158
"426",426,1410963.26107061
"427",427,2938651.65436466
"428",428,1220334.55468547
"429",429,2163423.18139557
"430",430,1808748.05881005
"431",431,1865121.02955518
"432",432,2470383.56852301
"433",433,2339114
"434",434,2488658
"435",435,2474747
"436",436,5977912
"437",437,2130036
"438",438,2294420.18287367
"439",439,2144381.31615552
"440",440,2617410.40035083
"441",441,3432422.92221438
"442",442,2399852.98687397
"443",443,2959566.60346158
"444",444,2429111.90715607
"445",445,2450479.05462317
"446",446,3175553.4745307
"447",447,3684149.29246642
"448",448,15762098.0163845
"449",449,17788370.021707
"450",450,6394509.51205724
"451",451,6097861.74117825
"452",452,5931017
"453",453,5865025
"454",454,6241796
"455",455,4451696
"456",456,4351801
"457",457,4288429
"458",458,4205707
"459",459,4316400
"460",460,4172652
"461",461,4176704
"462",462,5153953
"463",463,5419911
"464",464,8937630
"465",465,19544846
"466",466,19318363
"467",467,19624629
"468",468,18227933
"469",469,16305671
"470",470,11929689
"471",471,11536529
"472",472,8259014.48201918
"473",473,6970994.76144155
"474",474,6258073.90893596
"475",475,5624883.37944019
"476",476,4092932
"477",477,3315752
"478",478,2811246
"479",479,2667005
"480",480,3739530
"481",481,1661247
"482",482,1663574
"483",483,3559000
"484",484,2275002
"485",485,2180039.5
"486",486,1620199.45
"487",487,1285094.30450577
"488",488,5409100.41826503
"489",489,2882887.90349011
"490",490,1952553.1152273
"491",491,1450416.65983985
"492",492,1123723.73194215
"493",493,874358.32711431
"494",494,502631.439912841
"495",495,362167.836137053
"496",496,256269.711113784
"497",497,784155.001420288
"498",498,603855.163474192
"499",499,628948.140287279
"500",500,556782.374561553
"501",501,106090.434071083
"502",502,146024.13554777
"503",503,198738.093663094
"504",504,308199.427044991
"505",505,417934.366807197
"506",506,528122.801725377
"507",507,641344.17904807
"508",508,750371.830271935
"509",509,860881.483447712
"510",510,971287.900635908
"511",511,1081669.32951269
"512",512,1194820.64160403
"513",513,1303978.27783272
"514",514,1554270.33878213
"515",515,1510744.41666667
"516",516,2114288
"517",517,1801860
"518",518,1262186
"519",519,1577736
"520",520,2786751
"521",521,2046125
"522",522,2057627.75088106
"523",523,1908222.99028354
"524",524,1965409.71347282
"525",525,2210630.65332039
"526",526,2194367.56783075
"527",527,1938587.64276388
"528",528,2943412.75126372
"529",529,2385685.17000148
"530",530,2791901.35233894
"531",531,3187583.93136689
"532",532,3395693
"533",533,4491848
"534",534,6206066
"535",535,9854009
"536",536,3930155
"537",537,3194311
"538",538,3276267
"539",539,3451414.66849663
"540",540,5085662.92787517
"541",541,3510736.89006939
"542",542,4027807.33966252
"543",543,3130079.82435993
"544",544,3328401.04942117
"545",545,4153575.77192902
"546",546,4677239.14803087
"547",547,15312892.4477593
"548",548,19881278.8931501
"549",549,6853190.45842844
"550",550,6517383.07426685
"551",551,6322732.14012603
"552",552,6213060
"553",553,6163993
"554",554,10072391
"555",555,6039209
"556",556,4876640
"557",557,4786764
"558",558,4871368
"559",559,4634770
"560",560,4641315
"561",561,19959232
"562",562,18872716
"563",563,21475252
"564",564,17307165
"565",565,3272704
"566",566,3133019
"567",567,3210392
"568",568,2901597
"569",569,5041589
"570",570,3772267
"571",571,2738889
"572",572,5531893
"573",573,3353721
"574",574,2881062
"575",575,2253597
"576",576,2412410
"577",577,1765665
"578",578,1809585
"579",579,1782820
"580",580,3343164
"581",581,1525962
"582",582,732029
"583",583,726925
"584",584,2614226
"585",585,1011466
"586",586,1448311.93910706
"587",587,1533296.93511324
"588",588,1305656.24232718
"589",589,2907847.0270645
"590",590,2020558.14340091
"591",591,1490440.24517272
"592",592,1144287.28366601
"593",593,829565.368952316
"594",594,740193.73033497
